Landsdel;Museer og Besøgssteder;Hovedmuseum;Museumstype;Museumskategori;Museumsnavn;Besøgende; Udstilling i alt;Besøgende 18 år og derover; fuld pris;Besøgende 18 år og derover; reduceret pris (inkl. årskort);Besøgende 18 år og derover; gratis;"Besøgende u. 18 år, 
ej undervisning";"Besøgende u. 18 år, 
undervisning";Besøgende; uspecificeret;Besøgende; Besøgssted;Åbningstimer;Antal arrangementer;Deltagere til arrangementer i alt;Deltagere u. 18 år; undervisning;Deltagere u. 18 år; undervisning;Deltagere;18 år og derover eller uspecificeret;Antal online arrangementer (livestream);Deltagere til online arrangementer;Bemærkning;;;;;
Fyn;Besøgssted;Odense Bys Museer;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;H.C. Andersens Hus;183.355;122.629;0;13.106;32.310;15.310;0;183.355;1.852;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Fyn;Besøgssted;Svendborg Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Egeskov Mølle;;;;;;;;;;;;;;;;;Besøgstal og anden aktivitet indgår i tallene for Svendborg Museum;;;;;;;;;;;;;;
Fyn;Besøgssted;Svendborg Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Svendborg Museum;49.419;5.721;8.575;28.641;4.374;2.108;0;49.419;1.704;14;1.293;0;312;981;0;0;;;;;;;;;;;;;;;
Fyn;Besøgssted;Svendborg Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Anne Hvides Gård;;;;;;;;;;;;;;;;;Besøgstal og anden aktivitet indgår i tallene for Svendborg Museum;;;;;;;;;;;;;;
Fyn;Besøgssted;Ærø Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Ærø Museum;2.467;1.738;0;279;420;30;0;2.467;560;12;304;172;0;132;0;0;;;;;;;;;;;;;;;
Fyn;Besøgssted;Ærø Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Hammerichs Hus;1.358;1.076;0;38;244;0;0;1.358;342;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Fyn;Besøgssted;Ærø Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Søbygaard;9.852;6.183;2.345;335;931;58;0;9.852;996;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Fyn;Besøgssted;Øhavsmuseet; Faaborg;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Øhavsmuseet; Faaborg;52.403;10.148;3.273;23.740;13.648;1.594;0;52.669;2.833;5;266;0;0;266;0;0;;;;;;;;;;;;;
Fyn;Besøgssted;Øhavsmuseet; Faaborg;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Arresten;;;;;;;;;;;;;;;;;Besøgstal og anden aktivitet indgår i tallene for Øhavsmuseet; Faaborg;;;;;;;;;;;;
Fyn;Besøgssted;Østfyns Museer;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Farvergården;23.085;0;0;19.857;3.024;204;0;23.085;1.116;4;80;80;0;0;0;0;;;;;;;;;;;;;;;
Fyn;Besøgssted;Østfyns Museer;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Johannes Larsen Museet;44.580;20.949;11.703;8.353;2.032;1.543;0;44.580;2.054;4;175;0;40;135;0;0;;;;;;;;;;;;;;;
Fyn;Besøgssted;Østfyns Museer;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Vikingemuseet Ladby;31.704;15.060;4.706;4.530;5.697;1.711;0;31.704;2.054;14;1.427;0;476;951;0;0;;;;;;;;;;;;;;;
Fyn;Besøgssted;Østfyns Museer;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Borgmestergården;16.547;1.868;443;11.019;2.280;937;0;16.547;1.562;210;46.959;1.276;13.768;31.915;0;0;;;;;;;;;;;;;;;
Sydjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Museet på Sønderskov;10.072;6.261;593;1.261;1.802;155;0;10.340;1.442;18;2.778;319;198;2.261;0;0;;;;;;;;;;;;;;;
Sydjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;GIVE-EGNENS MUSEUM;8.582;1.866;2.600;2.000;1.146;970;0;8.582;1.465;3;356;0;30;326;0;0;;;;;;;;;;;;;;;
Sydjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Museerne i Fredericia;8.927;0;0;3.700;618;4.609;0;8.927;816;3;128;0;11;117;1;1.039;;;;;;;;;;;;;;;
Sydjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Fiskeri- og Søfartsmuseet / Saltvandsakvariet;125.566;49.827;3.608;16.449;45.851;9.831;0;125.566;2.422;43;258;0;71;187;0;0;;;;;;;;;;;;;;;
Sydjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;ESBJERG KUNSTMUSEUM;10.696;2.362;1.164;3.460;699;3.011;0;17.017;2.154;12;6.321;0;3.251;3.070;0;0;;;;;;;;;;;;;;;
Sydjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Museumsgården Karensminde;12.009;3.286;401;4.398;3.284;640;0;17.699;859;11;9.088;0;2.530;6.558;4;198;;;;;;;;;;;;;;;
Sydjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Trapholt;110.682;32.575;41.461;19.563;10.600;6.483;0;110.682;2.369;16;672;0;0;672;16;2.670;;;;;;;;;;;;;;;
Sydjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;RIBE KUNSTMUSEUM;16.024;5.460;5.959;2.758;743;1.104;0;44.331;1.668;15;1.569;0;0;1.569;0;0;;;;;;;;;;;;;;;
Sydjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Vejen Kunstmuseum;12.098;2.916;653;3.814;803;3.912;0;14.333;787;11;570;0;0;570;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;De danske kongers kronologiske samling;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Koldingshus;149.652;56.388;54.915;16.725;18.043;3.581;0;149.652;2.513;0;0;0;0;0;2;60.923;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Museum Kolding;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Christiansfeld Centret ¿ c/o Søstrehuset;3.195;1.879;661;87;143;425;0;3.195;1.821;317;5.989;425;135;5.429;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Museum Kolding;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Skamlingsbanken;6.774;2.925;2.699;312;414;424;0;6.774;1.701;57;872;424;50;398;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Museum Kolding;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Staldgården;6.775;1.514;1.344;383;373;3.161;0;6.775;1.749;59;4.121;3.161;0;960;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Museum Sønderjylland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Cathrineminde Teglværk;16.867;3.307;1.490;10.519;1.204;347;0;16.867;1.495;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Museum Sønderjylland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Arkæologi Haderslev;6.048;2.018;558;1.098;882;1.492;0;10.939;1.311;41;1.521;176;0;1.345;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Museum Sønderjylland;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Kunstmuseet Brundlund Slot;18.243;3.869;539;11.427;460;1.948;0;18.243;1.725;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Museum Sønderjylland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Kulturhistorie Aabenraa;846;237;60;434;81;34;0;846;854;1;10;0;0;10;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Museum Sønderjylland;Statsanderkendt i henhold til museumsloven;Naturhistorisk museum;Naturhistorie og Palæontologi;8.328;1.762;2.693;399;3.021;453;0;8.328;1.495;7;517;487;0;30;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Museum Sønderjylland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Sønderborg Slot;51.912;22.811;3.351;15.275;6.604;3.871;0;51.912;2.272;39;2.661;30;0;2.631;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Museum Sønderjylland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Højer Mølle;10.919;1.620;311;7.740;677;571;0;10.919;1.495;47;1.049;624;0;425;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Museum Sønderjylland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Drøhses Hus;1.665;544;406;679;36;0;0;1.665;1.132;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Museum Sønderjylland;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Kunstmuseet i Tønder Kulturhistorie Tønder;19.631;8.614;1.330;6.446;1.399;1.842;0;19.631;2.272;19;583;112;0;471;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Nationalmuseet;Statslig i henhold til museumsloven;Kulturhistorisk museum;Kongernes Jelling;187.979;0;0;0;0;0;187.979;187.979;3.400;3;1.200;0;650;550;2;2.000;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Nationalmuseet;Statslig i henhold til museumsloven;Kulturhistorisk museum;Frøslevlejrens museum;27.672;0;0;0;0;0;27.672;27.672;1.605;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Nationalmuseet;Statslig i henhold til museumsloven;Kulturhistorisk museum;Kommandørgården;16.311;0;0;0;0;0;16.311;16.311;1.150;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Sydvestjyske Museer;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Ribe Domkirkemuseum;62.214;41.061;0;0;21.153;0;0;62.214;1.575;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Sydvestjyske Museer;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Museet Ribes Vikinger;34.736;20.502;1.927;981;8.193;3.133;0;36.226;1.935;10;370;0;130;240;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Sydvestjyske Museer;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Bramming Egnsmuseum;919;0;0;858;9;52;0;1.755;470;1;43;0;0;43;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Sydvestjyske Museer;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Esbjerg Vandtårn;2.095;1.594;33;88;380;0;0;2.330;492;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Sydvestjyske Museer;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Jacob A Riis Museum;6.880;2.429;2.394;663;419;975;0;7.994;1.935;3;77;27;0;50;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Sydvestjyske Museer;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Det gamle rådhus i Ribe;1.861;1.359;90;157;232;23;0;11.796;628;665;23.039;1.995;4.642;16.402;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Sydvestjyske Museer;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Mandøhuset;1.008;1.008;0;0;0;0;0;1.008;336;2;250;0;0;250;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Sydvestjyske Museer;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;HEX!;15.156;7.563;1.260;1.357;2.339;2.637;0;16.264;1.935;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Sydvestjyske Museer;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Fanø Museum;4.065;2.847;759;66;48;345;0;4.065;672;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Sydvestjyske Museer;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Esbjerg Museum;5.601;1.561;87;1.345;911;1.697;0;7.241;1.000;13;2.200;75;945;1.180;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Vardemuseerne;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Varde Artillerimuseum;22.800;13.480;641;1.325;7.354;0;0;22.800;721;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Vardemuseerne;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Museum Frello;9.115;4.555;862;1.761;1.937;0;0;9.115;1.325;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Vardemuseerne;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Hjedding Mejerimuseum;214;0;0;149;65;0;0;214;3.450;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Vardemuseerne;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Hodde Skolemuseum;325;0;0;325;0;0;0;325;3.450;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Vardemuseerne;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Blåvandshuk Fyr;71.987;42.630;512;1.481;27.364;0;0;71.987;1.423;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Vardemuseerne;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Ølgod Museum;780;0;0;780;0;0;0;780;3.450;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Vardemuseerne;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Nymindegab Museum;7.811;4.258;507;1.518;1.528;0;0;7.811;1.244;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Vardemuseerne;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Tirpitz Stillingen;147.469;103.228;0;0;44.241;0;0;147.469;1.851;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Vardemuseerne;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Janusbygningen;4.463;785;119;3.546;13;0;0;4.463;900;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;Vardemuseerne;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;FLUGT;45.660;36.528;0;0;9.132;0;0;45.660;1.847;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;VejleMuseerne;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;VejleMuseerne;117.369;0;0;105.593;8.471;3.305;0;121.532;7.524;143;6.010;96;101;5.813;0;0;;;;;;;;;;;;;;;
Sydjylland;Besøgssted;VejleMuseerne;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Randbøldal-Museet;;;;;;;;;;;;;;;;;Besøgstal og anden aktivitet indgår i tallene for VejleMuseerne;;;;;;;;;;;;;;
Sydjylland;Besøgssted;VejleMuseerne;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;VINGSTED HISTORISKE VÆRKSTED;;;;;;;;;;;;;;;;;Besøgstal og anden aktivitet indgår i tallene for VejleMuseerne;;;;;;;;;;;;;;
Sydjylland;Besøgssted;VejleMuseerne;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Vejle Kunstmuseum;;;;;;;;;;;;;;;;;Besøgstal og anden aktivitet indgår i tallene for VejleMuseerne;;;;;;;;;;;;;;
Østjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Den Gamle By Danmarks Købstadmuseum;479.807;183.622;137.037;39.361;85.833;33.954;0;479.807;1.799;63;809;0;809;0;0;0;;;;;;;;;;;;;;;
Østjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;ARoS; Aarhus Kunstmuseum;514.332;133.752;235.020;30.126;72.667;42.767;0;629.674;2.978;0;0;0;0;0;0;0;;;;;;;;;;;;;;
Østjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Museum Jorn;38.362;14.482;8.080;8.057;3.582;4.161;0;43.619;2.155;17;3.200;2.100;0;1.100;1;500;;;;;;;;;;;;;;;
Østjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Randers Kunstmuseum;31.709;4.505;2.035;15.602;5.405;4.162;0;31.709;1.801;128;5.405;1.770;1.430;2.205;11;1.308;;;;;;;;;;;;;;;
Østjylland;Museum;;Statsanderkendt i henhold til museumsloven;Naturhistorisk museum;NATURHISTORISK MUSEUM;49.623;11.277;7.890;4.780;20.026;5.650;0;54.406;2.112;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Østjylland;Museum;;Statslig i henhold til museumsloven;Kulturhistorisk museum;Det Grønne Museum;97.888;26.336;21.153;26.676;18.743;4.980;0;97.888;2.003;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Østjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;KØN;42.972;11.976;8.847;9.422;720;12.007;0;42.972;2.170;8;2.855;0;0;2.855;0;0;;;;;;;;;;;;;;;
Østjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Gammel Estrup  Herregårdsmuseet;97.888;26.336;7.431;40.398;18.743;4.980;0;107.888;2.003;25;1.260;1.150;110;0;1;0;;;;;;;;;;;;;;;
Østjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Industrimuseet; Horsens;27.036;7.117;4.185;6.724;4.200;4.810;0;45.286;1.785;6;420;0;0;420;0;0;;;;;;;;;;;;;;
Østjylland;Besøgssted;Glud Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;GLUD MUSEUM;9.121;4.111;1.314;1.369;1.784;543;0;9.121;1.172;15;564;13;551;0;0;0;;;;;;;;;;;;;;;
Østjylland;Besøgssted;Moesgård Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Moesgård Museum;393.639;131.686;93.238;80.349;61.718;26.648;0;578.510;8.784;106;2.571;0;90;2.481;0;0;;;;;;;;;;;;;;;
Østjylland;Besøgssted;Moesgård Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Odder Museum;;;;;;;;;;;;;;;;;Besøgstal og anden aktivitet indgår i tallene for Moesgård Museum;;;;;;;;;;;;;;
Østjylland;Besøgssted;Moesgård Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Samsø Museum;;;;;;;;;;;;;;;;;Besøgstal og anden aktivitet indgår i tallene for Moesgård Museum;;;;;;;;;;;;;;
Østjylland;Besøgssted;Museum Horsens;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Horsens Historiske Museum;4.856;1.647;37;1.092;948;1.132;0;5.891;1.922;93;4.176;72;210;3.894;0;0;;;;;;;;;;;;;;;
Østjylland;Besøgssted;Museum Horsens;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Horsens Kunstmuseum;13.664;5.597;534;4.255;961;2.317;0;13.664;1.630;11;553;0;0;553;0;0;;;;;;;;;;;;;;;
Østjylland;Besøgssted;Museum Horsens;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Fængselsmuseet;73.984;29.240;15.855;5.742;13.720;9.427;0;250.802;1.945;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Østjylland;Besøgssted;Museum Silkeborg;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Hovedgården;22.818;7.788;2.832;2.962;3.853;5.383;0;22.818;1.624;18;909;304;240;365;0;0;;;;;;;;;;;;;;;
Østjylland;Besøgssted;Museum Silkeborg;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Papirmuseet Bikuben;8.112;3.910;239;1.568;940;1.455;0;8.112;756;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Østjylland;Besøgssted;Museum Silkeborg;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Blicheregnens Museum;4.972;2.199;969;1.070;461;273;0;4.972;1.032;9;446;196;250;0;0;0;;;;;;;;;;;;;;;
Østjylland;Besøgssted;Museum Skanderborg;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Skanderborg Museum;12.643;284;0;6.495;835;5.029;0;15.398;2.880;28;851;0;0;851;0;0;;;;;;;;;;;;;;;
Østjylland;Besøgssted;Museum Skanderborg;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Øm Kloster Museum;5.761;3.792;443;853;327;346;0;6.212;1.092;2;65;0;0;65;0;0;;;;;;;;;;;;;;;
Østjylland;Besøgssted;Museum Skanderborg;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Skanderborg Bunkerne;3.239;1.746;609;53;0;831;0;3.246;256;12;510;0;0;510;0;0;;;;;;;;;;;;;;;
Østjylland;Besøgssted;Museum Skanderborg;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Museet på Gl. Rye Mølle;5.262;1.093;8;3.773;103;285;0;5.622;459;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Østjylland;Besøgssted;Museum Østjylland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Museum Østjylland; Ebeltoft;249.091;0;0;249.061;0;30;0;249.091;3.188;32;1.120;442;0;678;5;0;;;;;;;;;;;;;;
Østjylland;Besøgssted;Museum Østjylland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Museum Østjylland; Grenå;13.883;0;0;11.094;2.699;90;0;13.883;1.764;25;875;0;324;551;1;0;;;;;;;;;;;;;;
Østjylland;Besøgssted;Museum Østjylland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Museum Østjylland; Randers;41.381;0;0;26.369;10.505;4.507;0;41.381;2.388;37;1.295;0;236;1.059;1;50;;;;;;;;;;;;;;
Vestjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;HEART Herning Museum of Contemporary Art;32.750;5.206;6.305;16.488;3.074;1.677;0;34.005;1.681;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vestjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Holstebro Kunstmuseum;11.017;3.013;2.438;3.209;2.357;0;0;11.017;1.458;11;1.102;0;82;1.020;0;0;;;;;;;;;;;;;;;
Vestjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Energimuseet;29.523;7.701;4.945;582;7.381;8.914;0;35.000;1.272;50;2.900;50;0;2.850;0;0;;;;;;;;;;;;;;;
Vestjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Struer Museum;14.039;3.007;2.189;7.636;978;229;0;14.256;1.572;5;217;0;0;217;0;0;;;;;;;;;;;;;;;
Vestjylland;Museum;;Statsanderkendt i henhold til museumsloven;Kunstmuseum;SKOVGAARD MUSEET I VIBORG;;;;;;;;;;;;;;;;;Uoplyst;;;;;;;;;;;;;;
Vestjylland;Besøgssted;De Kulturhistoriske Museer i Holstebro;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Holstebro Museum;13.098;2.830;2.526;4.318;2.367;1.057;0;13.727;1.398;40;999;316;265;418;0;0;;;;;;;;;;;;;;;
Vestjylland;Besøgssted;De Kulturhistoriske Museer i Holstebro;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Strandingsmuseum St. George;29.527;16.623;4.159;952;6.056;1.737;0;30.027;2.009;5;1.410;0;515;895;0;0;;;;;;;;;;;;;;;
Vestjylland;Besøgssted;De Kulturhistoriske Museer i Holstebro;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Hjerl Hedes Frilandsmuseum;56.550;16.849;12.550;9.169;13.762;4.220;0;56.550;1.023;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vestjylland;Besøgssted;Lemvig Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Lemvig Museum;4.274;1.513;233;1.393;519;616;0;4.274;2.208;25;493;0;0;493;0;0;;;;;;;;;;;;;;;
Vestjylland;Besøgssted;Lemvig Museum;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Jens Søndergårds Museum;3.937;2.734;420;506;182;95;0;3.937;1.140;5;231;0;0;231;0;0;;;;;;;;;;;;;;;
Vestjylland;Besøgssted;Museum Midtjylland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Frilandsmuseet Herning;2.768;0;0;1.923;472;373;0;2.768;195;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vestjylland;Besøgssted;Museum Midtjylland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Klosterlund Museum;7.112;632;0;5.239;838;403;0;10.091;701;1;287;0;31;256;0;0;;;;;;;;;;;;;;;
Vestjylland;Besøgssted;Museum Midtjylland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Herningsholm Museum;6.857;4.250;98;1.429;966;114;0;8.192;355;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vestjylland;Besøgssted;Museum Midtjylland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Tekstilmuseet;5.385;1.053;1.219;1.694;313;1.106;0;6.790;1.470;10;579;192;32;355;0;0;;;;;;;;;;;;;;;
Vestjylland;Besøgssted;Museum Midtjylland;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Vester Palsgaard Skovmuseum;2.224;233;0;1.553;364;74;0;2.296;247;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vestjylland;Besøgssted;Museum Salling;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Spøttrup Middelalderborg;31.045;18.701;3.979;839;5.670;1.161;695;31.045;1.339;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vestjylland;Besøgssted;Museum Salling;Statsanderkendt i henhold til museumsloven;Kunstmuseum;Skive Museum;8.923;1.433;3.829;853;832;1.976;0;11.865;1.028;6;911;124;125;662;0;0;;;;;;;;;;;;;;;
Vestjylland;Besøgssted;Museum Salling;Statsanderkendt i henhold til museumsloven;Naturhistorisk museum;Fur Museum;14.257;6.299;418;4.407;2.389;744;0;14.801;1.229;235;6.353;1.819;809;3.725;0;0;;;;;;;;;;;;;;;
Vestjylland;Besøgssted;Museum Salling;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Glyngøre Kulturstation;1.428;161;269;838;160;0;0;5.913;506;2;3.200;0;350;2.850;0;0;;;;;;;;;;;;;;;
Vestjylland;Besøgssted;Ringkøbing-Skjern Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Bork Vikingehavn;73.359;45.864;932;864;25.087;612;0;73.359;1.266;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vestjylland;Besøgssted;Ringkøbing-Skjern Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Abelines Gaard;6.698;4.115;446;210;1.758;169;0;6.698;893;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
Vestjylland;Besøgssted;Ringkøbing-Skjern Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Bundsbæk  Mølle;1.687;0;374;245;0;1.068;0;1.687;0;0;0;0;0;0;0;0;I 2022 var Bundsbæk Mølle lukket for gæster undtaget skoletjeneste og anden formidling;;;;;;;;;;;;;;
Vestjylland;Besøgssted;Ringkøbing-Skjern Museum;Statsanderkendt i henhold til museumsloven;Kulturhistorisk museum;Fahl Kro;0;0;0;0;0;0;0;47;3;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
